(constsym    , CONST)
(ident       , a   )
(eql         , =   )
(number      , 10  )
(semicolon   , ;   )
(varsym      , VAR )
(ident       , b   )
(comma       , ,   )
(ident       , c   )
(semicolon   , ;   )
(proceduresym, PROCEDURE)
(ident       , p   )
(semicolon   , ;   )
(varsym      , VAR )
(ident       , d   )
(semicolon   , ;   )
(proceduresym, PROCEDURE)
(ident       , q   )
(semicolon   , ;   )
(varsym      , VAR )
(ident       , x   )
(semicolon   , ;   )
(beginsym    , BEGIN)
(readsym     , READ)
(lparen      , (   )
(ident       , x   )
(rparen      , )   )
(semicolon   , ;   )
(ident       , d   )
(becomes     , :=  )
(ident       , x   )
(semicolon   , ;   )
(whilesym    , WHILE)
(ident       , x   )
(neq         , #   )
(number      , 0   )
(dosym       , DO  )
(callsym     , CALL)
(ident       , p   )
(semicolon   , ;   )
(endsym      , END )
(semicolon   , ;   )
(beginsym    , BEGIN)
(writesym    , WRITE)
(lparen      , (   )
(ident       , d   )
(rparen      , )   )
(semicolon   , ;   )
(callsym     , CALL)
(ident       , q   )
(semicolon   , ;   )
(endsym      , END )
(beginsym    , BEGIN)
(callsym     , CALL)
(ident       , p   )
(semicolon   , ;   )
(endsym      , END )
(period      , .   )
